<88,3>
<203,1>
<331,1>
<557,1>
<579,1>
<1063,1>
<1803,2>
<2515,1>
<3045,1>
<3545,1>
<4343,1>
<4603,1>
<4769,5>
<4869,2>
<5274,1>
<5441,2>
<5464,1>
<6035,1>
<6138,1>
<6944,1>
<7172,1>
<7200,1>
<7318,1>
<7404,1>
<7782,1>
<8004,1>
<8044,1>
<8489,1>
<8642,1>
<8772,1>
<8819,1>
<9080,1>
<9450,1>
<9466,1>
<9633,1>
<10476,1>
<10563,1>
<10829,1>
<11160,1>
<11172,1>
<11337,2>
<11879,1>
<12145,2>
<12211,1>
<12256,1>
<12401,1>
<12880,1>
<13034,1>
<13235,1>
<13332,2>
<13337,2>
<13572,1>
<13584,1>
<13767,1>
<13873,1>
<13939,1>
<14098,1>
<14183,1>
<14206,1>
<14609,1>
<14683,2>
<14686,1>
<14877,1>
<15054,1>
<15408,1>
<15484,1>
<15526,5>
<15801,1>
<15917,2>
<16011,1>
<16378,1>
<16753,1>
<16889,1>
<16934,1>
<17110,1>
<18057,1>
<18128,1>
<18658,1>
<18741,1>
<19410,1>
<19480,1>
<19508,1>
<19563,1>
<19731,1>
<19804,2>
<19860,1>
<19908,1>
<20123,1>
