<431,3>
<1346,1>
<2054,1>
<2675,1>
<2738,2>
<3564,1>
<3776,1>
<3787,1>
<3852,1>
<4799,2>
<4967,1>
<5086,1>
<5329,1>
<5483,1>
<5488,1>
<5625,1>
<6613,1>
<7094,1>
<7292,1>
<7348,1>
<7436,1>
<7583,1>
<8112,1>
<8308,2>
<8430,1>
<8735,1>
<8931,1>
<9202,1>
<9442,2>
<10576,1>
<10596,1>
<11636,2>
<11641,2>
<11876,1>
<12031,1>
<12348,1>
<12474,1>
<12716,1>
<12927,1>
<13315,1>
<13506,1>
<13578,1>
<13954,1>
<14182,1>
<14856,1>
<14923,1>
<15019,1>
<15500,1>
<15845,1>
<15867,1>
<16264,1>
<16994,1>
<17462,1>
<18065,1>
<18178,1>
<18238,1>
<18241,1>
<18754,1>
<18820,1>
<18957,1>
<20189,1>
