<0,chineham.euro.csg.mot.com>
<1,activa>
<2,laity>
<3,borrow-and-spend>
<4,1304s>
<5,bistromath.mitre.org>
<6,nents>
<7,rbnsn>
<8,'prog.c>
<9,transgressions>
<10,surroundings>
<11,inlucding>
<12,non-competing>
<13,1993apr16.205724.26258>
<14,\nenter>
<15,unconstitutional>
<16,photograph>
<17,steve_chiasson>
<18,linguistically>
<19,parish>
<20,eradication>
<21,hate/use>
<22,vmsb.is.csupomona.edu>
<23,feminine>
<24,multi-ethnic>
<25,anti-federalist>
<26,cambodia>
<27,non-b>
<28,zbib>
<29,macs.ee.mcgill.ca>
<30,yvon_corriveau>
<31,xvisualinfo>
<32,pict>
<33,sebastian_beer>
<34,5iq>
<35,bytesafter>
<36,torment>
<37,flb>
<38,xwindow>
<39,meats>
<40,thinking>
<41,rested/available>
<42,herer>
<43,three-stage>
<44,parcplace>
<45,libxbsd.a>
<46,off-camber>
<47,mrtifying>
<48,wirtz>
<49,augment>
<50,wrapper-library>
<51,dem>
<52,deskjets>
<53,univrs.rdd.lmsc.lockheed.com>
<54,'physical>
<55,imagery>
<56,mobad>
<57,andy.bgsu.edu>
<58,aloha>
<59,scott.g.crawford>
<60,lhotse.hao.ucar.edu>
<61,velo>
<62,939th>
<63,regularity>
<64,winnie>
<65,withering>
<66,guinness>
<67,gratefully>
<68,sun-3>
<69,1993apr14.183025.29688>
<70,shohat>
<71,dougs>
<72,1:30pm>
<73,belstaff>
<74,1993mar31.101957>
<75,-paul>
<76,guilty>
<77,anglophiles>
<78,maredsous.eng.sun.com>
<79,microstrip>
<80,lenses>
<81,defiled>
<82,synced>
<83,significasntly>
<84,mattel>
<85,ass-to-ankle>
<86,non-democratic>
<87,belville>
<88,president>
<89,5th>
<90,fifty-plus>
<91,c5l9qb.4y5>
<92,pupose>
<93,fractures>
<94,hernadez>
<95,wangtek>
<96,pentax>
<97,logs>
<98,pur->
<99,document>
<100,tek-term>
<101,dismounted>
<102,___________________________________________ooo__>
<103,alltall>
<104,kernal>
<105,dr->
<106,swapping>
<107,oussoren>
<108,bouton>
<109,ibeshir>
<110,/pub/os2/all/graphics/jpeg4-16.zip>
<111,heb>
<112,anyplace>
<113,zurvanism>
<114,self-deprecatory>
<115,|well>
<116,compaq-machines>
<117,dtek.chalmers.se>
<118,confirms>
<119,werner>
<120,hemorroids>
<121,lived-in>
<122,article-i.d>
<123,charted>
<124,unary>
<125,appointed>
<126,patrik>
<127,pod.734834505>
<128,jaracz>
<129,ave>
<130,ogh>
<131,bitplanes>
<132,edmonds>
<133,plunder>
<134,sfu.ca>
<135,_didn't_>
<136,mathematician>
<137,possed>
<138,politic->
<139,ouththere>
<140,'da>
<141,melpar.esys.com>
<142,hours/drink>
<143,tristero.lerc.nasa.gov>
<144,intenionally>
<145,masturbate>
<146,yunusova>
<147,cs89mcd>
<148,dkauni2.bitnet>
<149,comands>
<150,themself>
<151,obeying>
<152,neale>
<153,887kb/sec>
<154,inaction>
<155,mweintr>
<156,ls8ruoinn54b>
<157,illiad>
<158,skipping>
<159,escorts>
<160,|for>
<161,gumru-leninakan>
<162,puzzle>
<163,reserveren>
<164,taksar>
<165,avowal>
<166,1993apr23.155313.4220>
<167,cemetery>
<168,comp.graphics.rtfb>
<169,ottoman>
<170,386bsd>
<171,jhcox>
<172,ommitting>
<173,diskus>
<174,seats>
<175,meny>
<176,xcmstest>
<177,usun>
<178,cookies>
<179,gmdzi>
<180,beelyuns>
<181,nominations>
<182,ama>
<183,plasmaktm>
<184,sol-feace>
<185,inception>
<186,-benjamin>
<187,hyundai>
<188,prefix/i>
<189,1pmrakinnpun>
<190,b61644.student.cwru.edu>
<191,xt-faq>
<192,powders>
<193,mmle>
<194,stafford.winona.msus.edu>
<195,u96_averba>
<196,t_alloc>
<197,1993mar31.181357.28381>
<198,keck>
<199,drivers-licence>
<200,sunu>
<201,mech24135045>
<202,lot>
<203,loud>
<204,d.m.procida>
<205,tatoo>
<206,no-hype>
<207,indivual>
<208,full-face>
<209,patent>
<210,elitserien>
<211,steganographic>
<212,commentators>
<213,3finger>
<214,arthur-daley>
<215,fancifully>
<216,disfiguring>
<217,emough>
<218,indicative>
<219,soooooooo>
<220,wallace>
<221,steinarb>
<222,reverse.>
<223,september>
<224,atkinsj>
<225,1qk724inn474>
<226,romulus.rutgers.edu>
<227,rec.collecting>
<228,pub/space/faq/deltaclipper>
<229,\winorig\>
<230,effective>
<231,taunton>
<232,chiao-tung>
<233,pee-wee>
<234,frames>
<235,12pt>
<236,channeled>
<237,lateran.ucs.indiana.edu>
<238,ssr.com>
<239,getgeometry>
<240,staples>
<241,happened_>
<242,help>
<243,roving>
<244,iniquities>
<245,1993apr15.035406.29988>
<246,system-wide>
<247,marigold>
<248,accomplishments>
<249,nailing>
<250,hijack.berkeley.edu>
<251,corewidget>
<252,specifying>
<253,captured>
<254,kotsopoulos>
<255,kissing>
<256,impaired>
<257,strip-down>
<258,exceeding>
<259,hamit>
<260,bidzos>
<261,corporate>
<262,hitachi>
<263,bucklin>
<264,colinear>
<265,doorsteps>
<266,alchemy.chem.uwm.edu>
<267,metabolic>
<268,rethorical>
<269,well-understood>
<270,drmsr>
<271,shoe>
<272,johannes-gutenberg-universitaet>
<273,wagers>
<274,shaygiy>
<275,non-apple>
<276,credentials>
<277,certify>
<278,dbstu1.rz.tu-bs.de>
<279,southwick>
<280,soon-to->
<281,1r0b69inn5ct>
<282,sub-zonal>
<283,cgsvax.claremont.edu>
<284,dies>
<285,memex>
<286,chopped>
<287,escapist>
<288,birlinghoven>
<289,mexican>
<290,poskbitmaptars>
<291,______________________nnnnn______|_____u_____|______nnnnn______________________>
<292,semnatics>
<293,flaky>
<294,bribed>
<295,bluffing>
<296,desirable>
<297,vik>
<298,unquestionable>
<299,560-5000x2659>
<300,buffalo>
<301,clinocchio>
<302,confront>
<303,synonomous>
<304,the_doge>
<305,tucked>
<306,afore-mentioned>
<307,delaware>
<308,engelbert>
<309,bem>
<310,blues>
<311,theory.lcs.mit.edu>
<312,_on_coins_>
<313,1qehi6>
<314,interrogated>
<315,nothern>
<316,kasumovs>
<317,plurbis>
<318,haze>
<319,benchmarking>
<320,half-lives>
<321,showsthis>
<322,edicts>
<323,subjectively>
<324,jbodnar>
<325,first-hand>
<326,cannon>
<327,above-mentioned>
<328,cheesy>
<329,renegades>
<330,memcpy>
<331,scott.marks>
<332,larry.mcrcim.mcgill.edu>
<333,oxen>
<334,newly-installed>
<335,shouts>
<336,margins->
<337,euch>
<338,state-sponsored>
<339,network.1ps4a8>
<340,inman>
<341,peoplesparc.berkeley.edu>
<342,d0i>
<343,pittsfield>
<344,twiddle>
<345,madre>
<346,1qksp9>
<347,harlem>
<348,cept>
<349,gellert>
<350,forensics>
<351,nine-ninth>
<352,galileo.cc.rochester.edu>
<353,amazed>
<354,peluso>
<355,sather>
<356,cipres.cec.uchile.cl>
<357,lowdown>
<358,bnding>
<359,wasteful>
<360,vette>
<361,cholera>
<362,mqbnaiudo1maaaecakrkuuww+tqsoa1nd+gasbpxcdhsrhpmebpjklyikuijzat6>
<363,welding>
<364,gullata>
<365,hpsadwc.sad.hp.com>
<366,equalateral>
<367,dialog>
<368,sammy>
<369,gypies>
<370,kurland>
<371,1x3>
<372,misplace>
<373,xtcvtstringtofont>
<374,divvied>
<375,trample>
<376,no.clue>
<377,physiology/iu>
<378,cpu-power>
<379,sown>
<380,trapp>
<381,rambos>
<382,dillon>
<383,dispointment>
<384,100st>
<385,cordlessphone>
<386,richland>
<387,genetic>
<388,electric-monk.mit.edu>
<389,wilmette>
