<1347,5>
<4483,1>
<5371,1>
<6041,1>
<7560,1>
<8244,1>
<9052,1>
<12426,1>
<12753,1>
<15665,1>
<18127,1>
<18789,1>
<23055,1>
<23680,1>
<23878,1>
<24428,1>
<24767,2>
<24914,1>
<26621,1>
<26830,1>
<30214,2>
<32166,2>
<33346,1>
<35714,1>
<35955,2>
<36291,1>
<38449,2>
<38513,1>
<39223,1>
<39579,1>
<41148,1>
<43011,1>
<47207,1>
<47450,4>
<47675,1>
<47815,1>
<48518,2>
<48610,1>
<50034,1>
<50337,2>
<50758,2>
<53536,2>
<53792,1>
<54057,1>
<54206,2>
<56026,1>
<57336,4>
<58643,1>
<60411,1>
<60682,1>
<60949,1>
<61331,1>
<62489,1>
<62497,1>
<64031,3>
<64124,2>
<65029,1>
<65866,1>
<65915,1>
<66249,1>
<66460,1>
<66963,1>
<67306,3>
<68051,1>
<68340,1>
<68698,1>
<69464,1>
<69498,1>
<69971,2>
<70139,1>
<74671,2>
<76044,1>
<76194,1>
<76835,1>
<77276,1>
<77846,2>
<77930,1>
<81862,4>
<82469,2>
<84131,1>
<85346,2>
<85787,1>
<85967,1>
<86248,1>
<87221,2>
<87372,1>
<87649,1>
<87949,2>
<88416,4>
<88580,1>
<89110,1>
<92673,1>
<93018,2>
<93093,1>
<93168,1>
<95687,1>
<97374,1>
<98508,1>
<99063,15>
<99414,2>
<100219,1>
