<992,7>
<1172,2>
<2800,1>
<2902,1>
<3103,2>
<3898,2>
<4716,2>
<4960,1>
<5622,1>
<6041,1>
<6783,2>
<7420,2>
<8494,2>
<8569,1>
<8965,1>
<9175,1>
<9320,1>
<12155,1>
<12409,1>
<12426,1>
<12690,3>
<12753,1>
<12907,1>
<13391,1>
<13933,1>
<14255,1>
<16174,1>
<16801,2>
<20743,2>
<20975,3>
<21284,2>
<21385,1>
<21457,5>
<22525,1>
<22545,2>
<23231,1>
<23536,1>
<23783,1>
<25405,1>
<26711,1>
<27752,1>
<28504,1>
<29645,3>
<32485,1>
<32514,1>
<33624,1>
<35270,3>
<36057,1>
<36524,1>
<36867,1>
<38427,1>
<42072,1>
<42324,2>
<44358,1>
<45199,1>
<46367,1>
<46989,1>
<47144,1>
<47750,1>
<48266,1>
<49666,1>
<50034,1>
<50910,1>
<51808,1>
<52910,1>
<53536,1>
<54234,1>
<54899,1>
<56809,1>
<56819,1>
<58148,2>
<58731,1>
<59395,1>
<60955,2>
<62304,1>
<67088,1>
<67604,1>
<67950,2>
<71208,1>
<72670,1>
<73501,4>
<74460,1>
<75196,1>
<75985,1>
<76044,1>
<76600,2>
<77646,1>
<79424,1>
<80528,1>
<80570,1>
<80676,1>
<83296,1>
<83752,1>
<83926,1>
<85698,1>
<86505,1>
<87278,1>
<87372,1>
<88491,1>
<89591,1>
<90155,1>
<91730,1>
<91904,1>
<91949,1>
<96900,1>
<97299,1>
<97333,2>
<98706,1>
<99913,1>
<100320,1>
<100657,2>
<100994,1>
