<1001,4>
<1490,1>
<1984,1>
<2470,1>
<3292,1>
<3882,1>
<5371,1>
<5748,1>
<6041,1>
<8022,1>
<10380,1>
<11001,1>
<12560,1>
<12753,1>
<13391,1>
<15604,1>
<15935,1>
<17614,1>
<20228,1>
<21720,1>
<25117,2>
<25967,1>
<30676,1>
<33441,1>
<34854,1>
<35024,1>
<38972,1>
<39223,1>
<41748,1>
<41762,1>
<42324,1>
<42396,1>
<43188,1>
<46238,1>
<46989,1>
<47699,1>
<47750,1>
<47815,1>
<48321,1>
<53213,1>
<53855,1>
<55056,1>
<56296,1>
<62334,1>
<64400,1>
<65651,1>
<65843,1>
<65915,1>
<66460,1>
<69157,1>
<74671,1>
<75154,1>
<76007,2>
<76044,3>
<77646,1>
<78378,1>
<79557,1>
<81215,1>
<85394,1>
<89247,1>
<91087,3>
<93163,1>
<94945,1>
<95242,1>
<95575,1>
<101085,1>
