<367,4>
<1647,1>
<2443,1>
<5246,2>
<6041,1>
<8971,1>
<12753,1>
<13960,1>
<17614,1>
<19433,1>
<22356,2>
<22650,1>
<23814,1>
<24610,1>
<27438,2>
<27505,5>
<29848,1>
<31234,2>
<31363,1>
<33445,1>
<33733,1>
<33736,1>
<34090,3>
<36766,2>
<38374,1>
<38449,1>
<38481,1>
<38546,2>
<39964,7>
<41873,1>
<42324,1>
<43015,3>
<44145,1>
<46926,5>
<47132,1>
<47756,1>
<50337,1>
<50364,1>
<52306,2>
<52783,1>
<53750,1>
<55022,2>
<55837,1>
<56038,2>
<57328,5>
<62168,1>
<62735,1>
<62780,2>
<63330,1>
<63492,1>
<65029,1>
<65715,2>
<70337,1>
<71211,1>
<71647,1>
<71761,2>
<73669,1>
<75634,3>
<76044,1>
<76082,1>
<77276,1>
<77557,1>
<79210,3>
<80072,1>
<81862,1>
<83090,1>
<83431,1>
<83866,3>
<86387,1>
<90707,3>
<91697,1>
<92537,1>
<93000,1>
<93381,1>
