<1834,4>
<2620,2>
<2758,1>
<6041,1>
<7394,1>
<9175,3>
<9226,1>
<11829,1>
<12051,1>
<12753,1>
<12901,1>
<13391,1>
<14835,1>
<17980,2>
<18304,1>
<19692,1>
<20275,2>
<20647,2>
<21724,1>
<22023,1>
<22545,1>
<22645,5>
<22737,1>
<23679,1>
<24191,1>
<24625,2>
<26711,1>
<27128,1>
<28472,3>
<28779,2>
<35188,14>
<37762,1>
<38240,1>
<39431,1>
<40233,1>
<41762,2>
<42193,1>
<47750,2>
<48518,1>
<51420,1>
<52567,1>
<53732,3>
<54992,1>
<56885,3>
<59373,1>
<62620,2>
<63386,1>
<64494,2>
<65007,2>
<65915,2>
<66023,1>
<66137,1>
<67007,1>
<68698,1>
<69086,1>
<70533,2>
<70781,1>
<71081,1>
<71181,1>
<73615,1>
<74433,1>
<75490,2>
<75679,1>
<75686,1>
<76044,1>
<77589,1>
<79389,3>
<79613,1>
<80303,1>
<80465,1>
<80528,3>
<80676,1>
<81709,1>
<82275,1>
<83213,1>
<85484,1>
<85785,1>
<87372,2>
<89434,1>
<90010,1>
<90462,1>
<91609,1>
<92654,1>
<93723,1>
<95242,1>
<97381,1>
<97503,1>
<97910,2>
<98350,1>
<99607,1>
