<764,3>
<992,2>
<6041,1>
<7124,1>
<8248,2>
<9175,1>
<9254,1>
<9545,1>
<12753,1>
<13391,1>
<13933,1>
<16801,1>
<17087,1>
<17222,1>
<17281,1>
<17652,1>
<19104,1>
<19197,1>
<21559,1>
<21724,1>
<22525,2>
<23333,1>
<24252,7>
<25117,1>
<25967,1>
<26386,1>
<26711,1>
<27374,1>
<28181,1>
<30930,1>
<33623,2>
<33751,1>
<36085,1>
<37618,1>
<37847,1>
<42324,1>
<43589,1>
<45403,2>
<48518,1>
<50922,1>
<52203,1>
<52631,1>
<53244,1>
<53786,2>
<54192,1>
<54634,2>
<56107,4>
<56885,1>
<58851,2>
<62373,1>
<63506,1>
<63652,1>
<63902,1>
<64354,1>
<65233,1>
<65915,1>
<66080,1>
<66270,1>
<67372,1>
<67393,1>
<69086,2>
<69105,1>
<69504,1>
<69751,2>
<76044,1>
<76093,1>
<77276,1>
<79221,1>
<81475,1>
<81677,1>
<81862,1>
<83286,1>
<83431,1>
<86062,2>
<87488,1>
<89805,1>
<92214,1>
<95687,1>
<97381,1>
<98350,1>
<98926,1>
<99477,1>
