<966,5>
<6041,1>
<7993,1>
<10817,2>
<10844,1>
<12426,1>
<12753,1>
<13391,1>
<14255,1>
<16174,1>
<16677,1>
<17462,1>
<19007,1>
<21188,1>
<21724,1>
<22023,1>
<24355,1>
<30910,1>
<31006,1>
<35738,2>
<36744,1>
<37618,1>
<38464,1>
<38483,1>
<40357,1>
<42362,1>
<43589,2>
<44645,1>
<45065,2>
<46238,1>
<48518,1>
<48830,1>
<50337,1>
<51558,1>
<52060,1>
<52132,1>
<53536,1>
<57889,1>
<58914,1>
<59113,1>
<61540,1>
<62476,1>
<62973,1>
<63928,1>
<65233,1>
<65915,1>
<67775,1>
<68296,1>
<75130,1>
<75490,1>
<75748,1>
<76044,1>
<77969,1>
<78179,1>
<80344,1>
<81035,2>
<84796,1>
<86127,1>
<87779,2>
<88873,1>
<92566,1>
<92654,1>
<92781,1>
<93002,1>
<93037,1>
<96564,1>
<97529,1>
<98350,1>
<98514,1>
<98940,1>
<100507,1>
<101482,1>
