<3058,3>
<4053,1>
<6041,1>
<8507,1>
<8918,2>
<12753,1>
<13609,1>
<16545,1>
<17267,1>
<18169,1>
<21188,1>
<26711,1>
<30615,1>
<32808,1>
<34629,1>
<35191,1>
<35525,1>
<37891,4>
<40780,2>
<41168,1>
<43443,1>
<43753,1>
<46482,2>
<46921,1>
<48966,2>
<51048,1>
<51524,1>
<53536,1>
<54423,2>
<60949,2>
<61068,1>
<61149,1>
<63278,1>
<64378,1>
<67728,1>
<68051,1>
<69504,1>
<70545,1>
<70577,1>
<72505,2>
<76044,1>
<76775,1>
<76793,4>
<77433,1>
<78718,1>
<79708,1>
<79764,1>
<80344,1>
<80495,1>
<85333,1>
<85997,2>
<86443,1>
<87649,1>
<91818,1>
<95048,1>
<95687,1>
