<681,6>
<1347,1>
<1935,1>
<3420,1>
<6041,1>
<9908,1>
<10087,1>
<12426,1>
<12593,1>
<12671,1>
<12753,1>
<13140,1>
<14579,1>
<15431,2>
<16801,2>
<17698,1>
<18013,1>
<19104,1>
<22194,1>
<28621,1>
<32362,1>
<34212,2>
<38449,2>
<41060,2>
<41762,1>
<43093,3>
<43589,1>
<44899,1>
<45549,1>
<48259,1>
<48518,1>
<48966,1>
<50724,1>
<51048,1>
<51524,4>
<52603,3>
<53536,1>
<55332,1>
<58225,1>
<60728,1>
<62077,1>
<62499,1>
<62527,1>
<63414,1>
<63433,1>
<63503,2>
<63571,1>
<64354,1>
<70139,1>
<70376,1>
<71867,2>
<75277,3>
<76044,1>
<77579,1>
<77646,1>
<82066,2>
<84108,1>
<87649,1>
<88008,2>
<89247,1>
<89811,1>
<91363,2>
<95687,1>
<97249,3>
<99478,1>
<101699,1>
