<88,3>
<162,1>
<2346,1>
<2810,1>
<4200,1>
<4321,1>
<5505,1>
<6041,1>
<7013,1>
<9052,1>
<9782,1>
<11566,2>
<11892,1>
<12180,1>
<12426,2>
<12463,1>
<12753,1>
<14901,1>
<15665,1>
<16869,1>
<20264,1>
<21089,6>
<21298,1>
<21338,2>
<21438,1>
<22163,1>
<22759,1>
<23172,1>
<26711,1>
<28181,1>
<32326,1>
<32362,2>
<33064,1>
<35145,1>
<36420,1>
<37797,1>
<37917,1>
<38427,1>
<40439,1>
<41762,1>
<42193,1>
<42925,1>
<43143,1>
<45528,1>
<47313,2>
<50034,1>
<50908,1>
<52004,1>
<53461,1>
<53536,2>
<54744,1>
<58140,1>
<58919,2>
<59045,1>
<59064,1>
<59510,1>
<61841,1>
<62631,1>
<62908,1>
<63733,1>
<64354,1>
<66464,1>
<66600,1>
<67616,1>
<67638,2>
<68222,1>
<68472,1>
<69657,2>
<70342,1>
<70614,1>
<70633,2>
<74277,2>
<76044,1>
<77276,1>
<77560,1>
<77646,2>
<79797,1>
<83291,1>
<83708,1>
<85787,2>
<87372,1>
<87457,1>
<88251,4>
<88482,2>
<89070,1>
<90087,1>
<90116,5>
<92943,1>
<95687,1>
<96956,1>
<98271,1>
<98415,1>
<99434,2>
<100507,1>
<101231,1>
