<5014,4>
<5575,1>
<5871,1>
<6041,1>
<7420,1>
<8193,1>
<8507,1>
<8528,1>
<9226,1>
<12421,1>
<12426,1>
<12472,1>
<12562,1>
<12753,1>
<12847,1>
<13723,1>
<15604,2>
<21415,1>
<21724,1>
<21818,1>
<22525,1>
<26137,1>
<26711,1>
<26944,1>
<27176,1>
<31495,1>
<31890,2>
<32299,1>
<32446,1>
<32738,1>
<33624,1>
<34138,1>
<34584,2>
<35032,1>
<35115,1>
<37253,1>
<38341,1>
<39516,1>
<40115,2>
<40187,2>
<40351,1>
<41408,1>
<42395,1>
<43088,1>
<44392,2>
<45403,1>
<45721,3>
<46069,2>
<48266,1>
<49482,5>
<51551,1>
<52104,1>
<52986,1>
<53536,1>
<54244,1>
<54480,1>
<56771,1>
<56885,1>
<57829,1>
<58617,1>
<62123,1>
<62489,1>
<62521,1>
<62620,1>
<62746,1>
<64782,1>
<65754,1>
<67088,1>
<68066,1>
<68698,1>
<68745,1>
<69215,1>
<69697,1>
<69919,1>
<70139,1>
<70960,1>
<71697,1>
<73669,2>
<74418,1>
<75613,1>
<76044,1>
<76327,1>
<77582,1>
<77657,1>
<78733,1>
<79024,1>
<79119,2>
<79557,2>
<80971,1>
<81368,1>
<83295,1>
<83521,1>
<85402,1>
<85594,1>
<86926,2>
<88688,2>
<89110,2>
<92249,1>
<93139,1>
<93417,1>
<94255,2>
<96901,1>
<98514,1>
<99176,1>
<101503,1>
