<262,3>
<517,1>
<3224,1>
<5542,1>
<6041,1>
<8913,1>
<10193,1>
<12426,2>
<12753,1>
<18998,2>
<21208,1>
<22915,1>
<23483,1>
<25564,1>
<26293,1>
<26711,1>
<27627,1>
<28926,1>
<29979,4>
<34372,1>
<37253,1>
<39402,1>
<40973,1>
<41383,1>
<42193,1>
<43412,1>
<45370,1>
<45876,1>
<52486,2>
<53018,1>
<53536,2>
<53696,1>
<54744,1>
<55151,4>
<63956,2>
<64575,1>
<64756,1>
<68296,1>
<69974,1>
<72088,1>
<74046,1>
<76044,1>
<77276,1>
<77440,1>
<77560,2>
<78429,1>
<78882,1>
<79161,1>
<81030,1>
<81035,1>
<84061,1>
<88155,1>
<90345,1>
<92213,2>
<95093,1>
<98350,1>
<100204,1>
