<818,5>
<2638,1>
<3317,1>
<3891,1>
<4223,3>
<5108,2>
<5501,1>
<5892,1>
<6041,1>
<7557,1>
<8771,1>
<12426,1>
<12753,1>
<15824,1>
<16783,1>
<17564,1>
<17922,1>
<22530,1>
<22631,1>
<24316,1>
<24863,1>
<26299,1>
<27606,1>
<28419,2>
<29197,1>
<29655,1>
<30011,1>
<31671,1>
<32134,1>
<32614,3>
<34552,1>
<35362,1>
<35887,1>
<36325,2>
<38810,1>
<40115,1>
<40848,2>
<41557,1>
<41950,2>
<42193,1>
<43549,1>
<44017,1>
<44449,1>
<44886,1>
<45650,2>
<46545,1>
<49680,1>
<49762,1>
<49864,1>
<50922,1>
<53536,2>
<54480,1>
<55294,1>
<55744,1>
<56477,1>
<56817,1>
<57555,1>
<57757,1>
<59439,1>
<60361,1>
<64841,1>
<68051,1>
<68091,6>
<69390,1>
<69604,1>
<70087,1>
<70139,1>
<71365,1>
<71457,2>
<71659,2>
<74818,1>
<75485,1>
<76044,1>
<78680,1>
<79993,1>
<82343,1>
<82967,1>
<86846,1>
<87755,1>
<90057,6>
<94634,1>
<96180,1>
<96535,1>
<97383,1>
<97460,1>
<99675,1>
<100507,1>
