<1347,9>
<1872,1>
<3583,1>
<4904,1>
<5102,1>
<5622,1>
<5794,1>
<6041,1>
<6376,1>
<7470,1>
<10308,1>
<12753,1>
<13307,1>
<13593,1>
<14290,1>
<14670,2>
<15815,2>
<16313,1>
<17344,1>
<18013,1>
<18182,1>
<19938,1>
<21016,1>
<24899,5>
<25219,1>
<25296,1>
<26915,1>
<28423,1>
<29956,1>
<30591,2>
<30794,3>
<32022,1>
<32306,1>
<32764,1>
<33696,1>
<33707,2>
<34991,2>
<35313,1>
<36443,1>
<37585,1>
<38077,1>
<38233,1>
<38593,1>
<40357,1>
<41885,1>
<42193,1>
<42634,1>
<43035,2>
<44071,1>
<44328,1>
<44987,1>
<45199,1>
<46082,2>
<46834,1>
<47820,1>
<47942,1>
<48390,1>
<50034,2>
<50922,4>
<52027,1>
<54423,4>
<54480,1>
<55483,1>
<55981,1>
<57251,1>
<58085,1>
<58985,1>
<59147,6>
<59457,2>
<60215,1>
<60425,1>
<60955,1>
<61762,2>
<61941,1>
<62334,1>
<62336,1>
<62453,1>
<62499,1>
<63006,1>
<63902,2>
<64504,1>
<65625,2>
<66097,1>
<66911,1>
<67026,1>
<67457,1>
<67628,1>
<68139,1>
<68159,1>
<69457,2>
<70139,1>
<71741,1>
<73372,1>
<73402,1>
<75162,1>
<75351,1>
<76044,1>
<77276,1>
<77638,1>
<77646,2>
<77969,3>
<78378,1>
<78698,1>
<78733,3>
<78849,1>
<78882,2>
<79437,2>
<81063,1>
<81259,1>
<81850,1>
<83718,1>
<85741,1>
<85840,1>
<86127,2>
<86204,2>
<86248,1>
<87513,2>
<89562,1>
<90136,1>
<90155,1>
<90506,1>
<91554,1>
<91732,1>
<92657,1>
<93909,1>
<95224,1>
<97299,2>
<99913,1>
<99994,1>
<100291,1>
