<1347,4>
<1668,1>
<2655,1>
<4922,1>
<5096,2>
<6041,1>
<6761,1>
<11123,1>
<11367,2>
<11542,1>
<11714,1>
<12089,1>
<12136,1>
<12409,1>
<12426,1>
<12753,1>
<15557,1>
<16498,1>
<20495,1>
<22525,1>
<23020,1>
<25007,1>
<25534,1>
<26580,1>
<26941,1>
<27485,1>
<27526,1>
<27685,1>
<28181,1>
<29173,1>
<29440,1>
<29710,1>
<30149,1>
<32293,1>
<33171,1>
<33275,1>
<33624,1>
<34854,1>
<36131,1>
<36983,1>
<38922,1>
<38987,1>
<39230,1>
<41408,1>
<41762,1>
<42193,1>
<42380,1>
<42862,1>
<45271,1>
<45411,1>
<47132,1>
<50034,1>
<50100,1>
<50650,1>
<53536,1>
<56817,1>
<59110,1>
<63278,1>
<63726,1>
<64442,1>
<65851,1>
<66257,2>
<66464,1>
<66839,1>
<67478,1>
<68100,1>
<68435,1>
<70342,1>
<70894,1>
<72088,1>
<72724,1>
<74050,2>
<74641,1>
<76044,1>
<76784,1>
<77276,2>
<77560,2>
<78582,1>
<78698,1>
<79864,1>
<80372,1>
<81035,1>
<81621,1>
<83521,1>
<84100,1>
<85278,1>
<85638,1>
<86127,1>
<87498,1>
<88296,1>
<88352,1>
<88412,2>
<89877,2>
<91697,1>
<94484,1>
<95687,1>
<96449,1>
<97299,1>
<100889,1>
