<88,8>
<606,1>
<1246,1>
<3025,1>
<4261,1>
<5245,1>
<5542,1>
<6041,1>
<7140,1>
<8889,1>
<11123,2>
<12753,1>
<13491,1>
<16686,1>
<22181,2>
<26534,1>
<26711,1>
<33112,1>
<33362,1>
<33781,1>
<34695,1>
<35687,1>
<36957,1>
<37541,1>
<38639,1>
<41764,1>
<43584,1>
<47533,1>
<47680,2>
<52940,1>
<54135,1>
<54192,1>
<54958,2>
<55433,1>
<55981,1>
<56628,1>
<57530,1>
<61635,1>
<63601,1>
<63913,1>
<64354,1>
<65358,1>
<65370,1>
<65915,1>
<67188,1>
<68857,2>
<70807,2>
<72650,1>
<75485,2>
<76044,1>
<81215,1>
<81225,1>
<81232,2>
<82314,6>
<85459,1>
<90206,1>
<91930,1>
<94742,1>
<95000,1>
<95824,1>
