<4684,6>
<5794,1>
<6041,1>
<9183,1>
<9866,1>
<10370,1>
<11123,1>
<11549,1>
<12426,1>
<12753,1>
<16765,2>
<18736,1>
<23546,1>
<26561,1>
<30758,1>
<33728,1>
<34090,1>
<35297,1>
<39429,1>
<42193,1>
<45059,2>
<50071,2>
<50256,1>
<53536,1>
<54423,1>
<57628,2>
<57908,1>
<63006,1>
<63820,2>
<64442,1>
<65482,1>
<66218,1>
<66696,1>
<67473,1>
<67763,1>
<72992,4>
<73060,1>
<73155,1>
<76044,1>
<77104,2>
<77582,3>
<78416,1>
<78889,4>
<80123,1>
<80655,1>
<82109,1>
<83883,1>
<88842,1>
<89730,1>
<90740,2>
<90795,2>
<91732,4>
<93093,1>
<94276,1>
<100253,2>
<101612,2>
